epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,104.484,1.42237,1.25953,1.89327,0.76332,0.66646,0.73689,0.42995,1.45896,1.1184,1.89005,0.0008515,0.0008515,0.0008515
17,109.701,1.34895,1.20463,1.98802,0.78399,0.69301,0.74718,0.4481,1.4042,1.07252,1.83525,0.0008416,0.0008416,0.0008416
18,115.767,1.44489,1.19188,1.87331,0.77391,0.71437,0.75259,0.45479,1.37711,1.0438,1.81738,0.0008317,0.0008317,0.0008317
19,121,1.38819,1.16884,1.87474,0.84344,0.69488,0.7581,0.46084,1.35911,1.01844,1.805,0.0008218,0.0008218,0.0008218
20,126.825,1.32571,1.11447,1.83881,0.8042,0.74546,0.77168,0.47302,1.31959,0.99388,1.80043,0.0008119,0.0008119,0.0008119
21,135.669,1.28304,1.03662,1.90066,0.79886,0.73042,0.78102,0.48424,1.30636,0.93374,1.81924,0.000802,0.000802,0.000802
22,141.724,1.3264,1.02954,1.85091,0.82203,0.71962,0.78505,0.48038,1.30992,0.91255,1.83455,0.0007921,0.0007921,0.0007921
23,146.494,1.29001,0.98248,1.91508,0.78782,0.7151,0.75887,0.46092,1.3437,0.91786,1.85646,0.0007822,0.0007822,0.0007822
24,151.91,1.25788,0.99292,1.84982,0.82002,0.73305,0.7842,0.47445,1.35767,0.91561,1.84587,0.0007723,0.0007723,0.0007723
25,157.277,1.24879,0.96665,1.92278,0.83457,0.73454,0.80175,0.4929,1.3327,0.87425,1.86548,0.0007624,0.0007624,0.0007624
26,162.49,1.25084,0.96975,1.94257,0.91488,0.72031,0.80855,0.5095,1.31842,0.85616,1.8624,0.0007525,0.0007525,0.0007525
27,168.668,1.23843,0.93939,1.79371,0.87405,0.70298,0.7962,0.50439,1.30827,0.84185,1.85413,0.0007426,0.0007426,0.0007426
28,174.529,1.2431,0.91673,1.74996,0.83097,0.75752,0.80136,0.50319,1.31434,0.83178,1.85425,0.0007327,0.0007327,0.0007327
29,180.194,1.26939,0.91546,1.84149,0.81893,0.72276,0.78474,0.48934,1.33617,0.85525,1.86045,0.0007228,0.0007228,0.0007228
30,184.928,1.15505,0.8652,1.84143,0.80978,0.71987,0.77689,0.49307,1.31144,0.86451,1.85008,0.0007129,0.0007129,0.0007129
31,189.891,1.21083,0.8813,1.77493,0.8002,0.74754,0.78446,0.48407,1.29679,0.86831,1.85164,0.000703,0.000703,0.000703
32,195.634,1.1363,0.81507,1.72536,0.83308,0.73793,0.79741,0.4809,1.31279,0.8589,1.85764,0.0006931,0.0006931,0.0006931
33,200.386,1.20035,0.89966,1.79712,0.83844,0.73754,0.80634,0.48162,1.34435,0.87081,1.89843,0.0006832,0.0006832,0.0006832
34,206.346,1.18827,0.8654,1.73547,0.88359,0.73573,0.81562,0.47692,1.33622,0.85732,1.88726,0.0006733,0.0006733,0.0006733
35,211.073,1.1897,0.83764,1.77917,0.84439,0.75293,0.8097,0.49225,1.29231,0.79162,1.85119,0.0006634,0.0006634,0.0006634
36,215.813,1.14845,0.82799,1.74275,0.84968,0.74546,0.79682,0.49353,1.25997,0.76897,1.81044,0.0006535,0.0006535,0.0006535
37,221.4,1.16211,0.82004,1.75943,0.81508,0.78354,0.81403,0.50677,1.25501,0.76607,1.80559,0.0006436,0.0006436,0.0006436
38,226.09,1.10607,0.77852,1.73121,0.8086,0.78087,0.80556,0.51152,1.24168,0.76299,1.80298,0.0006337,0.0006337,0.0006337
39,232.619,1.14432,0.83778,1.79378,0.87607,0.75685,0.80005,0.50923,1.27291,0.7834,1.81748,0.0006238,0.0006238,0.0006238
40,237.422,1.12942,0.8009,1.66105,0.84313,0.79274,0.81233,0.51034,1.27897,0.78783,1.82331,0.0006139,0.0006139,0.0006139
41,242.178,1.13875,0.82015,1.82672,0.8341,0.77692,0.81319,0.51739,1.28031,0.79945,1.82797,0.000604,0.000604,0.000604
42,248.108,1.078,0.76241,1.68043,0.84857,0.77264,0.83176,0.5133,1.26843,0.79453,1.82845,0.0005941,0.0005941,0.0005941
43,252.915,1.06955,0.77214,1.73167,0.86826,0.77836,0.8353,0.52283,1.28284,0.79657,1.84172,0.0005842,0.0005842,0.0005842
44,259.049,1.05306,0.75462,1.7551,0.89692,0.76708,0.83351,0.51684,1.30284,0.81194,1.86155,0.0005743,0.0005743,0.0005743
45,263.816,1.09881,0.76441,1.70503,0.83692,0.78362,0.81898,0.51288,1.33136,0.83364,1.88488,0.0005644,0.0005644,0.0005644
46,269.457,1.09816,0.75662,1.77389,0.85764,0.77894,0.83124,0.51485,1.32515,0.82644,1.84946,0.0005545,0.0005545,0.0005545
47,274.672,1.07952,0.73379,1.6107,0.88001,0.77909,0.84922,0.51158,1.31302,0.82544,1.8421,0.0005446,0.0005446,0.0005446
48,279.39,1.02209,0.71613,1.78096,0.89038,0.78321,0.83821,0.50832,1.30268,0.837,1.82662,0.0005347,0.0005347,0.0005347
49,284.964,1.03699,0.72108,1.82629,0.83816,0.7893,0.82834,0.50874,1.29668,0.84888,1.82136,0.0005248,0.0005248,0.0005248
50,289.774,1.06057,0.72308,1.72698,0.8832,0.74053,0.82665,0.51166,1.30155,0.85073,1.86158,0.0005149,0.0005149,0.0005149
51,294.68,1.03991,0.70679,1.65501,0.81106,0.79636,0.8307,0.50586,1.29831,0.84888,1.88005,0.000505,0.000505,0.000505
52,300.278,1.0356,0.73088,1.69753,0.83656,0.78889,0.827,0.51038,1.29568,0.84662,1.86925,0.0004951,0.0004951,0.0004951
53,305.234,1.02902,0.71392,1.64344,0.82057,0.81092,0.8289,0.51263,1.2995,0.82913,1.85477,0.0004852,0.0004852,0.0004852
54,310.972,1.02647,0.71829,1.7303,0.84156,0.79497,0.83634,0.52497,1.27468,0.78988,1.83816,0.0004753,0.0004753,0.0004753
55,316.176,0.97547,0.67345,1.64942,0.83555,0.79007,0.82875,0.5248,1.26894,0.77909,1.8545,0.0004654,0.0004654,0.0004654
56,321.174,0.95831,0.67575,1.77531,0.83194,0.79389,0.83093,0.52862,1.2713,0.78753,1.87398,0.0004555,0.0004555,0.0004555
57,331.175,1.00051,0.67466,1.68506,0.8432,0.81096,0.83996,0.52881,1.26808,0.79408,1.8477,0.0004456,0.0004456,0.0004456
58,337.37,0.98857,0.67536,1.63517,0.88859,0.77389,0.83255,0.52886,1.27973,0.79414,1.85363,0.0004357,0.0004357,0.0004357
59,342.36,1.00434,0.67937,1.64376,0.84518,0.81712,0.83242,0.53081,1.30339,0.79029,1.87447,0.0004258,0.0004258,0.0004258
60,348.364,0.99343,0.69081,1.56778,0.84621,0.79977,0.82301,0.52417,1.30703,0.78899,1.87252,0.0004159,0.0004159,0.0004159
61,353.54,0.98925,0.69465,1.72444,0.88987,0.79152,0.83463,0.52404,1.28437,0.76175,1.84105,0.000406,0.000406,0.000406
62,358.293,0.96303,0.67807,1.67297,0.87813,0.79904,0.83349,0.52216,1.26925,0.74815,1.83888,0.0003961,0.0003961,0.0003961
63,364.021,0.95243,0.65564,1.6316,0.86527,0.8046,0.82791,0.52815,1.26202,0.74812,1.84492,0.0003862,0.0003862,0.0003862
64,368.849,0.96865,0.67044,1.73168,0.85798,0.80117,0.83134,0.52981,1.27145,0.75761,1.85862,0.0003763,0.0003763,0.0003763
65,374.356,0.99751,0.66463,1.75279,0.86404,0.78212,0.82929,0.52749,1.27566,0.78271,1.86329,0.0003664,0.0003664,0.0003664
66,379.62,1.01056,0.71278,1.57869,0.88305,0.77639,0.83294,0.53279,1.28005,0.78787,1.85904,0.0003565,0.0003565,0.0003565
67,385.183,0.95249,0.65743,1.60692,0.8875,0.77402,0.82747,0.5264,1.28866,0.79133,1.86785,0.0003466,0.0003466,0.0003466
68,390.87,0.98418,0.686,1.65602,0.87335,0.77167,0.83471,0.52404,1.30253,0.76583,1.89281,0.0003367,0.0003367,0.0003367
69,395.598,0.91821,0.62913,1.69657,0.85088,0.79737,0.83099,0.52327,1.30791,0.76304,1.88832,0.0003268,0.0003268,0.0003268
70,401.291,0.9385,0.64405,1.69144,0.85691,0.81033,0.8363,0.52344,1.30384,0.76224,1.87136,0.0003169,0.0003169,0.0003169
71,406.107,0.91201,0.62457,1.57389,0.87431,0.80202,0.83311,0.52656,1.29787,0.76147,1.86431,0.000307,0.000307,0.000307
72,410.86,0.97874,0.64881,1.65161,0.88954,0.81416,0.84498,0.52972,1.29758,0.75684,1.88375,0.0002971,0.0002971,0.0002971
73,416.805,0.95893,0.65729,1.63812,0.89228,0.81623,0.84155,0.53245,1.29273,0.74949,1.88982,0.0002872,0.0002872,0.0002872
74,422.07,0.89135,0.61818,1.75391,0.89086,0.81565,0.84308,0.53638,1.29085,0.74454,1.89281,0.0002773,0.0002773,0.0002773
75,428.244,0.94015,0.61806,1.73836,0.87772,0.81595,0.84243,0.53804,1.29384,0.74781,1.8922,0.0002674,0.0002674,0.0002674
76,433.689,0.93394,0.64821,1.67034,0.86127,0.82112,0.84073,0.53626,1.29161,0.75398,1.89397,0.0002575,0.0002575,0.0002575
77,439.093,0.90899,0.61541,1.64929,0.86741,0.81814,0.84221,0.52864,1.29846,0.75859,1.90683,0.0002476,0.0002476,0.0002476
78,444.268,0.87509,0.59524,1.58551,0.87701,0.8202,0.84343,0.52632,1.31205,0.76695,1.91216,0.0002377,0.0002377,0.0002377
79,449.127,0.86611,0.6134,1.65869,0.8817,0.83085,0.8477,0.53718,1.29723,0.75635,1.90008,0.0002278,0.0002278,0.0002278
80,454.809,0.84762,0.58002,1.60518,0.8813,0.8206,0.85184,0.5363,1.29231,0.74978,1.89554,0.0002179,0.0002179,0.0002179
81,459.812,0.86448,0.60196,1.67282,0.87836,0.8219,0.85273,0.53854,1.28836,0.74273,1.89034,0.000208,0.000208,0.000208
82,465.831,0.88307,0.60945,1.67824,0.88714,0.82831,0.85568,0.53379,1.28249,0.74061,1.882,0.0001981,0.0001981,0.0001981
83,471.404,0.87106,0.59224,1.6084,0.89942,0.82781,0.85443,0.53762,1.28286,0.73754,1.88559,0.0001882,0.0001882,0.0001882
84,476.782,0.87708,0.59215,1.63972,0.88763,0.82042,0.84329,0.53585,1.2842,0.74498,1.88798,0.0001783,0.0001783,0.0001783
85,482.389,0.88487,0.6021,1.66072,0.88384,0.81652,0.84409,0.53549,1.28195,0.74831,1.89305,0.0001684,0.0001684,0.0001684
86,487.172,0.89228,0.59864,1.61481,0.87724,0.81654,0.84516,0.53971,1.27382,0.74794,1.88503,0.0001585,0.0001585,0.0001585
87,493.616,0.9306,0.63022,1.70293,0.87136,0.82579,0.84653,0.54367,1.26744,0.75376,1.87337,0.0001486,0.0001486,0.0001486
88,498.886,0.82552,0.54692,1.70832,0.87493,0.82188,0.84684,0.54482,1.25784,0.75288,1.8671,0.0001387,0.0001387,0.0001387
89,504.83,0.86565,0.57936,1.57725,0.87531,0.81087,0.84483,0.54698,1.25298,0.75007,1.86069,0.0001288,0.0001288,0.0001288
90,513.753,0.86979,0.59561,1.60862,0.87779,0.82381,0.85131,0.54398,1.26254,0.73707,1.86397,0.0001189,0.0001189,0.0001189
91,522.791,0.77984,0.52217,1.66196,0.88638,0.81205,0.85141,0.54031,1.26826,0.73839,1.86863,0.000109,0.000109,0.000109
92,527.561,0.7976,0.53393,1.65175,0.88911,0.81436,0.85162,0.54212,1.27456,0.73633,1.87649,9.91e-05,9.91e-05,9.91e-05
93,533.083,0.76836,0.50672,1.60161,0.88931,0.81565,0.85162,0.54116,1.27641,0.73232,1.87894,8.92e-05,8.92e-05,8.92e-05
94,538.257,0.781,0.54157,1.63534,0.89008,0.81651,0.8501,0.53599,1.28493,0.73238,1.88615,7.93e-05,7.93e-05,7.93e-05
95,543.576,0.76929,0.51768,1.59086,0.89311,0.81592,0.85136,0.53566,1.28449,0.73224,1.88675,6.94e-05,6.94e-05,6.94e-05
96,548.709,0.80762,0.54825,1.62992,0.8962,0.81151,0.85114,0.53739,1.28259,0.72936,1.88656,5.95e-05,5.95e-05,5.95e-05
97,553.772,0.7786,0.51393,1.62531,0.89945,0.81638,0.85276,0.53332,1.28219,0.72746,1.8879,4.96e-05,4.96e-05,4.96e-05
98,559.252,0.76287,0.51781,1.54279,0.90062,0.81758,0.85519,0.53216,1.28156,0.73151,1.88958,3.97e-05,3.97e-05,3.97e-05
99,564.037,0.74725,0.52211,1.5794,0.90013,0.81889,0.85579,0.53393,1.28242,0.73287,1.89127,2.98e-05,2.98e-05,2.98e-05
100,569.252,0.76441,0.51891,1.56726,0.89569,0.81797,0.85285,0.53292,1.28295,0.73472,1.8921,1.99e-05,1.99e-05,1.99e-05
