epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.45425,2.64094,4.52827,2.91949,0.00331,0.11602,0.00291,0.0013,2.28189,4.06869,2.64166,0.00013,0.00013,0.00013
2,14.4865,2.19641,4.08255,2.33953,0.02146,0.27074,0.06793,0.02909,1.9786,3.70579,2.12292,0.000267327,0.000267327,0.000267327
3,20.2755,2.01206,3.631,2.16425,0.80606,0.11645,0.14245,0.06995,1.75393,3.1415,1.92583,0.000401882,0.000401882,0.000401882
4,27.1055,1.83118,3.29449,2.06096,0.47021,0.23704,0.22505,0.10538,1.6714,2.80501,1.8986,0.000533665,0.000533665,0.000533665
5,33.3877,1.75886,2.78476,1.96622,0.49858,0.30861,0.34217,0.18827,1.56035,2.24518,1.96124,0.000662676,0.000662676,0.000662676
6,40.5285,1.70468,2.38131,1.95754,0.64082,0.46778,0.49489,0.28269,1.60888,1.82158,2.10449,0.000788915,0.000788915,0.000788915
7,50.7018,1.61401,2.13332,2.07446,0.69216,0.54897,0.51739,0.29227,1.58761,1.76624,2.02545,0.000912382,0.000912382,0.000912382
8,57.5016,1.62226,1.83413,2.03237,0.58148,0.56665,0.56421,0.31555,1.55976,1.65831,1.96175,0.0009307,0.0009307,0.0009307
9,65.1105,1.63279,1.85129,2.0523,0.62693,0.53002,0.57833,0.31334,1.63483,1.67364,2.10332,0.0009208,0.0009208,0.0009208
10,70.2779,1.63207,1.71503,2.00383,0.66006,0.59989,0.62744,0.37457,1.50435,1.56443,1.98838,0.0009109,0.0009109,0.0009109
11,76.8734,1.62038,1.6842,2.07247,0.77501,0.58947,0.66074,0.39627,1.4615,1.36922,1.90811,0.000901,0.000901,0.000901
12,82.1892,1.5316,1.47566,1.9622,0.69609,0.63753,0.68031,0.41001,1.41995,1.26743,1.84941,0.0008911,0.0008911,0.0008911
13,88.5723,1.52894,1.47529,2.11704,0.74136,0.68453,0.71278,0.42072,1.44571,1.15638,1.87229,0.0008812,0.0008812,0.0008812
14,93.7562,1.44215,1.27354,1.8501,0.72591,0.68516,0.70664,0.4181,1.4162,1.11641,1.85302,0.0008713,0.0008713,0.0008713
15,98.9734,1.44716,1.26545,1.89877,0.74037,0.71671,0.73103,0.41562,1.46206,1.11252,1.88148,0.0008614,0.0008614,0.0008614
