epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.43899,2.65816,4.51846,2.81056,0.00504,0.12439,0.00531,0.00127,2.39274,4.16626,2.81075,9e-05,9e-05,9e-05
2,15.0633,2.23294,3.86377,2.46681,0.91948,0.0696,0.10653,0.04228,2.00821,3.20583,2.11315,0.000188119,0.000188119,0.000188119
3,26.4725,1.98594,3.38713,2.15433,0.82419,0.13314,0.151,0.07181,1.84976,2.94602,1.93448,0.000284258,0.000284258,0.000284258
4,38.7991,1.93668,2.94737,2.15295,0.69285,0.18735,0.22834,0.10914,1.69932,2.49297,1.91402,0.000378417,0.000378417,0.000378417
5,49.4316,1.72774,2.49734,2.05405,0.47163,0.42048,0.40909,0.2152,1.76283,2.07758,1.93142,0.000470596,0.000470596,0.000470596
6,55.0574,1.66756,2.12627,2.01018,0.66857,0.49754,0.53191,0.28647,1.69434,2.01522,1.86991,0.000560795,0.000560795,0.000560795
7,59.9656,1.63176,1.86746,2.0565,0.62199,0.52991,0.56121,0.31761,1.66839,1.77942,1.82962,0.000649014,0.000649014,0.000649014
8,65.6935,1.55646,1.7471,2.03706,0.72232,0.64612,0.61762,0.36261,1.60841,1.45307,1.8555,0.000735253,0.000735253,0.000735253
9,77.6212,1.57107,1.63101,2.0199,0.72988,0.64077,0.64561,0.39223,1.49185,1.37444,1.88787,0.000819512,0.000819512,0.000819512
10,82.938,1.53094,1.58155,2.06635,0.68026,0.62716,0.64551,0.35353,1.53662,1.3917,1.94228,0.000901791,0.000901791,0.000901791
11,87.107,1.45447,1.47174,1.92917,0.78071,0.57181,0.6648,0.36531,1.46874,1.63048,1.94027,0.000901,0.000901,0.000901
12,92.1743,1.46435,1.45941,2.04933,0.87766,0.57034,0.69074,0.38384,1.43925,1.51391,1.95498,0.0008911,0.0008911,0.0008911
13,96.372,1.46118,1.34799,1.95786,0.70489,0.66485,0.7139,0.41507,1.42361,1.30219,1.85934,0.0008812,0.0008812,0.0008812
14,107.123,1.4573,1.35134,1.94106,0.79438,0.66477,0.7353,0.44567,1.3964,1.12341,1.82809,0.0008713,0.0008713,0.0008713
15,117.024,1.4694,1.28796,1.9455,0.75216,0.69455,0.75968,0.46662,1.36609,1.09962,1.83974,0.0008614,0.0008614,0.0008614
16,121.705,1.36149,1.24392,1.93524,0.80823,0.69395,0.77387,0.46884,1.36162,1.05312,1.81441,0.0008515,0.0008515,0.0008515
17,131.58,1.37186,1.22549,1.97148,0.85553,0.66796,0.769,0.47343,1.35452,1.00164,1.81908,0.0008416,0.0008416,0.0008416
18,141.441,1.3704,1.1949,1.95656,0.81927,0.70599,0.79042,0.47279,1.37846,1.03148,1.8312,0.0008317,0.0008317,0.0008317
