epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7895,2.80115,4.72253,2.07922,0.00049,0.01626,0.00041,0.00011,2.63343,4.67304,1.82206,4e-05,4e-05,4e-05
2,72.595,2.55859,4.5364,1.82849,0.00146,0.06504,0.00333,0.0008,2.45709,4.56891,1.63424,8.9109e-05,8.9109e-05,8.9109e-05
3,107.326,2.34159,4.27387,1.59138,0.0014,0.0813,0.00546,0.00179,2.43348,4.42301,1.50679,0.000137228,0.000137228,0.000137228
4,144.042,2.2558,3.94645,1.47617,0.00125,0.0813,0.01519,0.0052,2.25117,4.34022,1.41691,0.000184357,0.000184357,0.000184357
5,180.496,2.22042,3.62521,1.46529,0.00158,0.08963,0.0357,0.01748,2.07952,4.1468,1.32946,0.000230496,0.000230496,0.000230496
6,216.3,2.09273,3.13191,1.3638,0.00363,0.16954,0.12692,0.0653,2.04673,3.94071,1.30543,0.000275645,0.000275645,0.000275645
7,252.494,2.08795,2.81823,1.34432,0.01157,0.23802,0.14883,0.07701,2.08867,3.75721,1.33864,0.000319804,0.000319804,0.000319804
8,289.248,2.06852,2.43117,1.32045,0.02404,0.37954,0.20037,0.0936,2.0311,3.65642,1.36243,0.000362973,0.000362973,0.000362973
9,326.834,2.07526,2.31104,1.37564,0.04337,0.47803,0.25024,0.12232,2.02389,3.48918,1.34657,0.000405152,0.000405152,0.000405152
10,364.128,2.03486,2.0891,1.37136,0.04256,0.50646,0.30385,0.14017,2.01025,3.37516,1.34174,0.000446341,0.000446341,0.000446341
11,402.181,1.9075,1.97544,1.28718,0.78665,0.17055,0.33958,0.16048,2.00104,3.26148,1.32405,0.00048654,0.00048654,0.00048654
12,439.404,1.91464,1.88488,1.26979,0.87929,0.15794,0.3701,0.17335,2.02412,3.06771,1.29389,0.000525749,0.000525749,0.000525749
13,476.691,1.89518,1.8516,1.27198,0.86318,0.19083,0.38337,0.17885,2.00415,2.99296,1.29843,0.000563968,0.000563968,0.000563968
14,515.638,1.85857,1.7942,1.25861,0.86076,0.15475,0.42711,0.19927,1.97586,3.03289,1.29265,0.000601197,0.000601197,0.000601197
15,553.12,1.83887,1.71881,1.24513,0.85299,0.12919,0.43041,0.19802,1.9595,2.99099,1.27293,0.000637436,0.000637436,0.000637436
16,591.045,1.84031,1.88761,1.32081,0.86303,0.13446,0.45993,0.20718,1.93866,3.0082,1.26931,0.000672685,0.000672685,0.000672685
17,627.961,1.82617,1.67366,1.24186,0.95951,0.22105,0.50756,0.23872,1.99345,2.88438,1.30086,0.000706944,0.000706944,0.000706944
18,665.744,1.79507,1.57112,1.19744,0.89929,0.24963,0.54061,0.24513,1.97924,2.7581,1.29111,0.000740213,0.000740213,0.000740213
19,705.524,1.78061,1.61361,1.23732,0.90656,0.3181,0.54816,0.24351,1.92531,2.59986,1.26897,0.000772492,0.000772492,0.000772492
20,744.321,1.8164,1.72402,1.28096,0.70992,0.35093,0.51911,0.21667,1.96146,2.46662,1.29384,0.000803781,0.000803781,0.000803781
21,783.955,1.78011,1.59962,1.24322,0.67174,0.35588,0.51958,0.2197,1.97729,2.41521,1.30704,0.000802,0.000802,0.000802
22,824.843,1.81995,1.56834,1.22445,0.69788,0.42224,0.52643,0.22724,1.97063,2.30038,1.28227,0.0007921,0.0007921,0.0007921
23,865.461,1.78172,1.53589,1.23854,0.7579,0.4836,0.57849,0.23669,1.97342,2.14596,1.27224,0.0007822,0.0007822,0.0007822
24,906.87,1.70362,1.48349,1.19485,0.65432,0.45454,0.53781,0.23945,1.87889,1.97253,1.24943,0.0007723,0.0007723,0.0007723
25,952.512,1.7115,1.42615,1.20947,0.63868,0.43716,0.51717,0.22893,1.8457,2.02716,1.23748,0.0007624,0.0007624,0.0007624
26,993.115,1.6895,1.42484,1.16177,0.61909,0.46766,0.54244,0.24033,1.88422,1.98878,1.24999,0.0007525,0.0007525,0.0007525
27,1034.33,1.71987,1.44489,1.1882,0.67847,0.53453,0.58684,0.25764,1.88152,1.92371,1.26487,0.0007426,0.0007426,0.0007426
28,1074.02,1.62923,1.40792,1.17593,0.67902,0.52341,0.58945,0.26618,1.89492,1.85547,1.27991,0.0007327,0.0007327,0.0007327
29,1112.97,1.71781,1.39601,1.19519,0.6474,0.54465,0.61962,0.27201,1.84104,1.80559,1.25375,0.0007228,0.0007228,0.0007228
30,1151.27,1.63365,1.35688,1.15255,0.68232,0.55342,0.63817,0.27819,1.8231,1.76326,1.22939,0.0007129,0.0007129,0.0007129
31,1189.61,1.55208,1.33089,1.14773,0.73272,0.56152,0.62973,0.27885,1.80955,1.78265,1.22143,0.000703,0.000703,0.000703
32,1227.52,1.61567,1.33455,1.13624,0.70264,0.5514,0.61406,0.27823,1.81413,1.71851,1.21259,0.0006931,0.0006931,0.0006931
